Reference, Value, Footprint, Datasheet, ventcode, Aukstis, Gamintojo Kodas, Kaina, Komentaras, Korpusas, Korpuso tipas, Marke, Nominalas, Nuoroda, Parametras, Pavadinimas, Gamintojo kodas
"V2.1","BTW67","disc:RD91","","ZELT046","","","","","","","","","","","",""
"D1","LL4007","disc:D_MELF","http://datasheet.octopart.com/LL4007G-L0-Taiwan-Semiconductor-datasheet-11551116.pdf","-","2.3","LL4007","0.01","-","melf","SMD","LL4007","-","-","700V/1A","Diodas",""
"R4","1k","resistors:R_1206","","-","1","-","0.001","","1206","SMD","-","1k","-","","Rezistorius",""
"X17","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"X26","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"R2","470R","resistors:R_1206","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"V2.2","BTW67","disc:RD91","","ZELT046","","","","","","","","","","","",""
"D2","LL4007","disc:D_MELF","http://datasheet.octopart.com/LL4007G-L0-Taiwan-Semiconductor-datasheet-11551116.pdf","-","2.3","LL4007","0.01","-","melf","SMD","LL4007","-","-","700V/1A","Diodas",""
"R1","1k","resistors:R_1206","","-","1","-","0.001","","1206","SMD","-","1k","-","","Rezistorius",""
"X14","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"R3","470R","resistors:R_1206","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"X4","LD3","mech:Solder_Terminal_M3","~"
"X5","PH3","mech:Solder_Terminal_M3","~"
"U2","MOC3060S","","http://datasheet.octopart.com/MOC3063SR2M-Fairchild-Semiconductor-datasheet-10497244.pdf","-","","","0","","","SMD","","","","","Optosimistorius","MOC3060S"
"R10","330R","","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"EKR_X7","Faston_6.3x08x14","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"EKR_X9","Faston_6.3x08x14","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"EKR_X12","Faston_6.3x08x14","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"U1","MOC3060S","","http://datasheet.octopart.com/MOC3063SR2M-Fairchild-Semiconductor-datasheet-10497244.pdf","-","","","0","","","SMD","","","","","Optosimistorius","MOC3060S"
"R5","330R","","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"EKR_X17","X17","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"EKR_X14","X14","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"EKR_X26","X26","","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"V1.1","BTW67","disc:RD91","","ZELT046","","","","","","","","","","","",""
"D3","LL4007","disc:D_MELF","http://datasheet.octopart.com/LL4007G-L0-Taiwan-Semiconductor-datasheet-11551116.pdf","-","2.3","LL4007","0.01","-","melf","SMD","LL4007","-","-","700V/1A","Diodas",""
"R9","1k","resistors:R_1206","","-","1","-","0.001","","1206","SMD","-","1k","-","","Rezistorius",""
"X9","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"X12","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"R7","470R","resistors:R_1206","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"V1.2","BTW67","disc:RD91","","ZELT046","","","","","","","","","","","",""
"D4","LL4007","disc:D_MELF","http://datasheet.octopart.com/LL4007G-L0-Taiwan-Semiconductor-datasheet-11551116.pdf","-","2.3","LL4007","0.01","-","melf","SMD","LL4007","-","-","700V/1A","Diodas",""
"R6","1k","resistors:R_1206","","-","1","-","0.001","","1206","SMD","-","1k","-","","Rezistorius",""
"X7","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"R8","470R","resistors:R_1206","","-","1","-","0.001","-","1206","SMD","-","470R","-","-","Rezistorius",""
"X1","LD1","mech:Solder_Terminal_M3","~"
"X2","PH1","mech:Solder_Terminal_M3","~"
"X6","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"X3","Faston_6.3x08x14","mech:Faston_6.3x0.8x14","","ZAJ023","10","-","0","-","-","DIP","-","-","-","-","Kontaktas",""
"T1","Transformer_1P_1S","","~"
"H1","Conn_01x01","Wire_Pads:SolderWirePad_single_1mmDrill","~"
"H2","Conn_01x01","Wire_Pads:SolderWirePad_single_1mmDrill","~"
"H3","Conn_01x01","Wire_Pads:SolderWirePad_single_1mmDrill","~"
"H4","Conn_01x01","Wire_Pads:SolderWirePad_single_1mmDrill","~"
